Cluster	AG	AP1	AP2	AP3	BLR	PI	SEP3	LFY	JAG	ETT	RGA
AG	6.85595	1.45299	0.360593	3.35646	0.860358	3.07289	4.92492	0	2.38041	2.17725	1.72851
AG	1.39506	0.534495	0.97733	2.40702	4.75446	2.81679	0.997244	2.45654	0.883658	2.72261	2.26093
AG	0.789148	0.781061	0.692389	1.01395	0.427845	0.778481	0.913901	3.16284	0.740151	1.08733	0.400642
AG	1.80751	2.78053	4.37381	0.791315	1.67792	0.77951	2.29794	0.780701	4.75776	6.64035	2.25695
AG	2.2343	0.763311	0.97733	2.4455	0.993125	1.58793	0.913901	0	1.01001	1.00862	0.944864
AG	1.5876	4.89973	0.605273	0.659222	3.02261	0.631835	1.94803	1.39601	0.553947	2.28771	1.13206
AG	0.533208	1.0132	0.92371	1.43453	5.95255	1.38457	0.77416	2.48698	0.69863	0.897727	0.682156
AG	0.383668	1.57759	1.53405	0.977454	3.939	1.24341	1.2769	0	1.89961	1.31682	3.40443
AG	1.49073	0.979963	0.801985	2.672	0.999168	1.88122	1.17676	1.17574	2.86139	1.72619	2.613
AG	3.63159	1.89981	2.99904	4.10586	0.890628	4.61648	2.06645	1.76599	0.665494	0.592595	1.02259
AG	1.04281	0.927025	1.07228	2.24904	0.425688	1.75596	0.600592	2.2461	0.614708	1.08485	2.41384
AG	2.33802	2.87573	1.80499	0.7614	6.27939	1.8353	1.99319	1.32821	8.3277	0.684018	1.93028
AG	1.00067	1.7518	5.8879	1.05186	0.913245	0.93736	1.04588	2.4361	4.31215	0.338803	2.95327
AG	1.32958	1.30522	1.59196	1.09647	0	1.00649	1.40841	2.43491	0	0	0
AG	1.62945	1.50561	4.48862	0.993107	3.55496	1.13893	2.58192	0	1.65065	3.17462	2.64569
AG	4.45909	3.11031	3.65185	2.40407	1.27109	3.70113	5.91134	2.05639	1.32136	3.00842	2.52565
AG	1.79886	0.970749	1.80499	1.98741	1.75761	2.09124	1.2769	2.76743	1.34952	1.29016	2.3421
AG	1.79886	2.87573	5.8879	0.887781	1.44647	1.02383	1.97025	1.66224	4.20818	3.60913	1.12683
AG	0.817288	3.20021	5.24725	1.65356	0.916664	1.41718	4.28215	0	6.25412	1.65782	1.58363
AG	1.34543	1.83301	1.63103	1.50555	3.31676	2.6512	2.42728	3.22043	1.07919	1.2556	1.70031
AG	5.46581	3.9931	1.67842	3.08961	2.35648	3.57585	4.15949	3.54557	1.38866	3.43907	2.44186
AG	1.27202	1.84461	1.80499	0.873907	2.39432	1.50492	0.952824	1.83298	0.784653	3.7227	2.21088
AG	1.69248	1.873	4.48862	2.58153	1.87722	2.59129	3.82593	2.78388	1.92299	3.53903	2.39783
AG	0.60157	1.39466	0.360593	0.992316	1.81245	0.975974	1.03822	1.17574	0.732042	2.26668	0.984583
AG	7.4574	9.83445	1.36934	4.12503	2.89363	5.74366	7.7321	4.86473	2.77448	10.3789	2.67657
AG	1.17761	0.612248	1.06604	1.07876	2.32201	0.887756	1.03922	0	1.10443	0.641613	0.991542
AG	0.883824	0.600024	1.66918	0.991864	4.37369	0.77951	1.03338	1.46842	2.71645	2.65821	2.90356
AG	1.32958	1.18307	1.04099	1.90999	0.917725	2.48594	1.15987	3.11315	0.394588	1.0366	0.803992
AG	3.47316	2.96002	1.80499	2.95277	2.52577	2.95323	2.53865	0	4.1544	1.08194	1.43578
AG	2.17716	2.87298	0.834162	2.63504	1.97074	1.46088	3.62125	1.86818	1.33905	0.99136	3.19782
AG	1.10727	0.905071	3.32361	1.09183	0.772412	1.58359	1.19056	3.65194	3.4897	1.76716	1.86956
AG	1.2626	1.39466	0.749006	2.9388	0.551321	2.44298	1.53809	1.20833	0.85502	0.84152	5.86337
AG	2.60706	1.67027	1.80499	1.11591	1.00307	1.97202	2.03113	1.17574	2.43533	3.85684	1.84431
AG	1.4502	0.781061	2.41798	2.26117	0.642189	1.53938	1.35966	3.90839	1.3203	1.77394	2.82189
AG	0.9187	1.57269	1.40469	1.19479	0.86637	1.1063	1.39495	1.87321	11.9539	2.393	6.68256
AG	3.52067	1.63326	1.08477	1.28529	0.886691	2.07015	4.15949	1.06499	5.71064	3.62023	3.99299
AG	6.37633	0.565698	1.16417	3.95186	0.522077	3.40615	3.13198	1.73945	1.07254	0.603449	0.812491
AG	2.10889	1.68337	0.749006	2.32589	4.36073	2.23346	2.52577	0	0.910489	1.76918	1.7694
AG	1.39379	3.09995	1.50475	0.408925	2.06785	0.527789	1.97308	0.826494	5.63293	2.52301	4.47313
AG	1.25461	4.2024	5.77834	2.25872	1.36082	2.13084	2.22125	8.63259	2.45289	3.8056	2.62555
AG	4.15347	3.71201	1.80499	2.24528	1.11641	2.8138	6.92845	0	5.42472	1.46217	1.00047
AG	3.20624	3.46204	0.777547	1.77301	0.873953	1.8353	4.70239	0	1.95609	1.34686	0.972688
AG	5.89201	1.82179	3.13265	2.05734	6.81488	2.48211	5.42902	2.7454	0.665494	2.393	3.35836
AG	2.33562	1.25941	1.63103	3.01895	0.769346	4.21066	1.56673	0.836942	3.28659	3.89785	1.59183
AG	4.61721	4.46246	4.91074	4.7565	2.54601	5.40987	5.62899	0	9.61829	3.53903	1.878
AG	0.892572	0.88312	2.94975	2.12939	0.909936	1.71579	1.30758	1.17574	0.866184	0.985921	2.43134
AG	1.95877	1.82179	3.32361	1.77301	1.24082	2.13593	1.72325	0.727148	3.08851	2.67864	1.50548
AG	1.28	1.28027	1.27026	0.918451	1.51359	1.12592	1.41998	1.39601	3.75411	1.12678	2.27517
AG	1.89509	0	3.46564	0.828086	1.44332	1.39138	0	2.55296	0.416682	9.11615	0.543464
AG	1.09369	1.5399	0.71696	1.79682	2.60167	0.977138	1.03577	1.32821	1.25564	1.71292	1.57952
AG	2.81286	2.46901	2.14898	1.75282	1.14805	2.93581	3.39998	3.74803	3.65283	0.887329	4.49947
AG	3.48979	1.0049	1.80499	0.960076	0.654866	1.73643	1.08501	7.19782	2.55459	1.40678	1.77304
