Individual code	Group	Name	Categories	Botanical variety	TGRC 	PI CGN#	EA #	original reads	depth	coverage	coverage(without "N")
TS-684	BIG	Cal J Tm VF		S. lycopersicum			EA02054/CGN20815	350,005,712 	32.8721	88.48%	98.833%
TS-685	BIG	The Dutchman		S. lycopersicum		PI303721		325,373,852 	30.5137	87.47%	97.704%
TS-686	BIG	Black Cherry		S. lycopersicum	LA4451		EA00027	291,340,260 	28.6875	88.61%	98.978%
TS-687	BIG	Anto		S. lycopersicum			EA01835/V710029	338,922,222 	33.14	89.23%	99.670%
TS-688	BIG	Winter Tipe		S. lycopersicum			PC11029	342,091,648 	33.453	89.08%	99.503%
TS-689	BIG	Chang Li		S. lycopersicum		PI93302	EA04243	356,071,914 	34.9219	89.15%	99.581%
TS-690	BIG	Belmonte		S. lycopersicum			EA00892/SG16	361,667,302 	34.9554	89.16%	99.592%
TS-691	BIG	Tiffen Mennonite		S. lycopersicum			EA01088	350,960,268 	33.949	88.91%	99.313%
TS-692	BIG	Wheatleys Frost Resistant		S. lycopersicum		PI203232	EA04939	365,965,560 	35.3499	88.95%	99.358%
TS-693	BIG	S. lycopersicum		S. lycopersicum		PI311117	EA05701	355,446,954 	34.525	89.07%	99.492%
TS-694	BIG	S. lycopersicum		S. lycopersicum	LA1324	PI365925	EA05891	311,078,578 	28.1444	88.24%	98.565%
TS-695	BIG	Chih Mu Tao Se		S. lycopersicum		PI158760	EA04828	358,824,838 	34.9059	89.09%	99.514%
TS-696	BIG	S. lycopersicum		S. lycopersicum	LA0113	TS-127	EA00526	320,271,482 	30.8818	87.61%	97.861%
TS-697	BIG	ES 58 Heinz		S. lycopersicum			LYC1410/EA02655	329,074,092 	32.2325	88.86%	99.257%
TS-698	BIG	S. lycopersicum Dolmalik		S. lycopersicum		PI169588	EA04861	350,679,528 	33.5051	89.04%	99.458%
TS-699	BIG			S. lycopersicum			LYC2962/EA03107/T556	350,056,960 	32.4557	86.77%	96.923%
TS-700	BIG			S. lycopersicum			LYC2910/EA03058/T115	354,913,642 	35.0509	89.09%	99.514%
TS-701	PIM			S. pimpinellifolium			LYC2798/EA02994	333,169,910 	30.3498	85.56%	95.571%
TS-702	CER			S. lycopersicum var cerasiforme			LYC2740/EA02960	350,660,960 	34.2598	88.97%	99.380%
TS-703	PIM			S. pimpinellifolium	LA1584	PI407541	EA00676	304,120,366 	28.4259	87.18%	97.381%
TS-704	PIM			S. pimpinellifolium	LA1578		EA00674	346,259,212 	32.071	87.81%	98.084%
TS-705	WILD			S. peruvianum	LA1278	PI365941	TR00005	341,079,252 	12.8202	60.81%	67.925%
TS-706	WILD			S. chmielewskii	LA2663		TR00007	335,405,764 	24.8147	77.30%	86.345%
TS-707	WILD			S. chmielewskii	LA2695		EA00759	344,378,728 	24.9332	77.68%	86.769%
